campaign_id,date,channel,market,objective,device,campaign_type,impressions,clicks,spend_usd,conversions,revenue_usd,ctr,cpc,cvr,roas,cpa
CMP-00000,2025-04-21,Paid Search,Mexico,Conversion,Mobile,Prospecting,105902,2872,770.78,156,11017.46,0.02711941228683122,0.2683774373259053,0.054317548746518104,14.29391006512883,4.940897435897436
CMP-00001,2025-10-13,Programmatic,Colombia,Conversion,Mobile,Brand,121358,1163,709.18,32,1930.15,0.009583216598823316,0.6097850386930352,0.027515047291487533,2.721664457542514,22.161875
CMP-00002,2025-05-21,Paid Social,Mexico,Consideration,Mobile,Non-Brand,55595,939,463.1,71,4534.39,0.01689000809425308,0.4931842385516507,0.07561235356762513,9.791384150291513,6.522535211267606
CMP-00003,2025-08-10,Paid Search,Colombia,Conversion,Mobile,Non-Brand,118756,3584,951.9,293,18920.18,0.0301795277712284,0.26559709821428573,0.08175223214285714,19.87622649437966,3.248805460750853
CMP-00004,2025-06-20,Paid Search,Argentina,Conversion,Desktop,Non-Brand,51671,1376,582.94,67,4635.49,0.02663002457858373,0.42364825581395354,0.04869186046511628,7.951916149174871,8.700597014925373
CMP-00005,2025-09-17,Retail Media,Mexico,Consideration,Mobile,Prospecting,60259,961,596.86,39,2396.08,0.015947825221128795,0.6210822060353798,0.04058272632674298,4.0144757564588005,15.304102564102564
CMP-00006,2025-05-06,Programmatic,Chile,Conversion,Desktop,Retargeting,137229,1363,601.57,35,2494.35,0.00993230293888318,0.4413573000733676,0.025678650036683785,4.146400252672174,17.187714285714286
CMP-00007,2025-02-02,Paid Search,Argentina,Conversion,Desktop,Prospecting,50002,1581,567.7,119,6847.06,0.031618735250589974,0.35907653383934224,0.07526881720430108,12.061053373260524,4.7705882352941185
CMP-00008,2025-04-18,Paid Search,Chile,Conversion,Desktop,Brand,58632,2027,524.22,145,10427.92,0.03457156501569109,0.25861864824864333,0.07153428712382832,19.892258975239404,3.6153103448275865
CMP-00009,2025-08-19,Programmatic,Brazil,Consideration,Desktop,Prospecting,60442,239,345.66,5,316.05,0.003954204030310049,1.4462761506276152,0.02092050209205021,0.9143377885783718,69.132
